circuitId,circuitRef,name,location,country,lat,lng,alt,url,turns,length_km
44,las_vegas,Las Vegas Street Circuit,Nevada,USA,36.1162,-115.174,639,http://en.wikipedia.org/wiki/Las_Vegas_Street_Circuit,14,3.65
45,jarama,Jarama,Madrid,Spain,40.6171,-3.58558,609,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama,13,3.404
46,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,485,http://en.wikipedia.org/wiki/Watkins_Glen_International,11,5.435
47,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042,153,http://en.wikipedia.org/wiki/Scandinavian_Raceway,10,4.031
48,mosport,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,332,http://en.wikipedia.org/wiki/Mosport,10,3.957
49,montjuic,Montjuïc,Barcelona,Spain,41.3664,2.15167,79,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit,17,3.79
50,nivelles,Nivelles-Baulers,Brussels,Belgium,50.6211,4.32694,139,http://en.wikipedia.org/wiki/Nivelles-Baulers,7,3.724
51,charade,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,790,http://en.wikipedia.org/wiki/Charade_Circuit,12,8.055
52,tremblant,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099,214,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant,15,4.265
53,essarts,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,81,http://en.wikipedia.org/wiki/Rouen-Les-Essarts,10,6.542
54,lemans,Le Mans,Le Mans,France,47.95,0.224231,67,http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit,8,8.358
55,reims,Reims-Gueux,Reims,France,49.2542,3.93083,88,http://en.wikipedia.org/wiki/Reims-Gueux,6,8.302
56,george,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736,15,http://en.wikipedia.org/wiki/Prince_George_Circuit,13,3.92
57,zeltweg,Zeltweg,Styria,Austria,47.2039,14.7478,676,http://en.wikipedia.org/wiki/Zeltweg_Airfield,7,3.186
58,aintree,Aintree,Liverpool,UK,53.4769,-2.94056,20,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,8,4.828
59,boavista,Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325,28,http://en.wikipedia.org/wiki/Circuito_da_Boavista,16,7.407
60,riverside,Riverside International Raceway,California,USA,33.937,-117.273,470,http://en.wikipedia.org/wiki/Riverside_International_Raceway,10,5.311
61,avus,AVUS,Berlin,Germany,52.4806,13.2514,53,http://en.wikipedia.org/wiki/AVUS,2,8.113
62,monsanto,Monsanto Park Circuit,Lisbon,Portugal,38.7197,-9.20306,158,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit,9,5.44
63,sebring,Sebring International Raceway,Florida,USA,27.4547,-81.3483,18,http://en.wikipedia.org/wiki/Sebring_Raceway,14,8.369
64,ain-diab,Ain Diab,Casablanca,Morocco,33.5786,-7.6875,19,http://en.wikipedia.org/wiki/Ain-Diab_Circuit,9,7.618
65,pescara,Pescara Circuit,Pescara,Italy,42.475,14.1508,129,http://en.wikipedia.org/wiki/Pescara_Circuit,10,25.579
66,bremgarten,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,551,http://en.wikipedia.org/wiki/Circuit_Bremgarten,8,7.28
67,pedralbes,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,85,http://en.wikipedia.org/wiki/Pedralbes_Circuit,10,6.316
68,buddh,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,194,http://en.wikipedia.org/wiki/Buddh_International_Circuit,16,5.125
69,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,161,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,20,5.513
70,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678,http://en.wikipedia.org/wiki/Red_Bull_Ring,10,4.318
71,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2,http://en.wikipedia.org/wiki/Sochi_Autodrom,18,5.848
73,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,-7,http://en.wikipedia.org/wiki/Baku_City_Circuit,20,6.003
75,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,108,http://en.wikipedia.org/wiki/Algarve_International_Circuit,16,4.653
76,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,255,http://en.wikipedia.org/wiki/Mugello_Circuit,15,5.245
77,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,15,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit,27,6.174
78,losail,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,12,http://en.wikipedia.org/wiki/Losail_International_Circuit,16,5.38
79,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,0,http://en.wikipedia.org/wiki/Miami_International_Autodrome,19,5.41
